gender,sr_cit,tenure,phone_y_n,internet_type,mon_chg,churn
Female,0,49,1,No,20.15,0
Male,0,9,1,Fiber optic,99.3,0
Female,0,35,1,DSL,62.15,0
Female,0,48,1,No,20.65,0
Female,0,46,1,No,19.95,0
Male,0,29,0,DSL,33.75,0
Male,0,30,1,Fiber optic,82.05,0
Male,1,1,1,Fiber optic,74.7,0
Male,0,66,1,DSL,84,0
Female,0,65,1,Fiber optic,111.05,0
Male,0,72,1,Fiber optic,100.9,0
Female,0,12,1,Fiber optic,78.95,1
Male,0,71,1,DSL,66.85,0
Male,0,5,1,No,21.05,1
Male,0,52,1,No,21,0
Female,1,25,1,Fiber optic,98.5,1
Male,0,1,1,No,20.2,0
Female,0,1,1,No,19.45,0
Male,0,38,1,Fiber optic,95,0
Female,1,66,0,DSL,45.55,0
Male,0,68,1,Fiber optic,110,1
Male,0,5,0,DSL,24.3,0
Female,0,72,1,Fiber optic,104.15,0
Female,0,32,0,DSL,30.15,0
Male,0,43,1,Fiber optic,94.35,0
Male,0,72,1,No,19.4,0
Male,0,55,1,Fiber optic,96.75,1
Female,0,52,1,DSL,57.95,0
Female,0,43,1,Fiber optic,91.65,0
Female,1,37,1,Fiber optic,76.5,1
Female,0,64,0,DSL,54.6,0
Male,0,3,1,Fiber optic,89.85,0
Female,0,36,0,DSL,31.05,0
Female,0,10,1,Fiber optic,100.25,1
Female,0,41,1,No,20.65,0
Male,0,27,1,Fiber optic,85.2,0
Female,0,56,1,Fiber optic,99.8,0
Female,0,6,1,No,20.7,0
Male,0,3,1,Fiber optic,74.4,1
Female,0,7,1,DSL,50.7,0
Female,0,4,1,No,20.85,0
Male,0,33,1,Fiber optic,88.95,0
Female,1,27,1,Fiber optic,78.05,1
Male,0,72,1,No,23.55,0
Male,0,1,1,No,19.75,0
Male,1,71,0,DSL,56.45,0
Female,0,13,1,Fiber optic,85.95,0
Female,0,25,0,DSL,58.6,1
Male,0,67,1,DSL,50.55,0
Male,0,1,0,DSL,35.45,1
Male,0,2,1,DSL,44.35,1
Female,0,43,1,No,25.7,0
Female,0,23,1,Fiber optic,75,0
Female,0,64,1,No,20.2,0
Male,0,57,1,No,19.6,0
Female,1,1,1,Fiber optic,70.45,1
Female,1,72,1,DSL,88.05,0
Female,0,8,1,DSL,71.15,1
Female,0,61,1,Fiber optic,101.05,0
Male,0,64,1,Fiber optic,84.3,0
Male,1,71,1,No,23.95,0
Female,0,65,1,Fiber optic,99.05,0
Male,0,3,1,No,19.6,0
Male,0,1,1,DSL,45.65,1
Male,0,30,1,DSL,64.5,0
Male,0,15,1,DSL,69.5,0
Female,0,8,1,DSL,68.55,0
Male,0,7,1,Fiber optic,95,1
Female,0,70,1,Fiber optic,108.15,0
Male,0,62,1,DSL,86.1,0
Female,0,6,1,No,19.7,0
Female,0,14,1,Fiber optic,80.9,0
Female,0,22,1,Fiber optic,84.15,0
Male,0,22,1,No,20.15,0
Male,0,16,1,DSL,64.25,0
Male,0,10,1,No,25.7,0
Female,0,13,1,DSL,56,0
Female,0,20,1,Fiber optic,82.4,1
Female,0,2,1,Fiber optic,69.7,0
Male,0,53,1,DSL,73.9,0
Female,0,11,1,No,20.6,0
Male,0,69,1,No,19.9,0
Female,0,4,1,Fiber optic,70.9,1
Male,0,72,1,DSL,89.05,0
Male,1,58,0,DSL,45.3,1
Female,0,16,1,No,20.4,0
Male,0,43,1,Fiber optic,84.25,0
Female,0,2,1,Fiber optic,104.4,1
Male,0,14,1,DSL,81.95,0
Female,0,53,1,Fiber optic,94.85,1
Female,0,32,1,No,20.55,0
Female,0,34,1,No,24.7,0
Female,1,15,1,Fiber optic,74.45,1
Female,1,7,1,Fiber optic,76.45,1
Female,0,15,1,Fiber optic,105.35,0
Male,0,61,1,No,20.55,0
Female,0,1,0,DSL,29.95,1
Female,0,1,1,DSL,45.3,0
Male,0,8,1,Fiber optic,84.5,1
Male,0,33,1,DSL,74.75,0
Female,0,13,1,Fiber optic,79.25,1
Female,0,1,0,DSL,24.8,1
Male,0,20,1,DSL,51.8,0
Male,0,3,0,DSL,30.4,0
Female,0,13,1,No,19.65,0
Female,0,40,1,DSL,56.6,0
Male,0,43,1,DSL,71.9,0
Male,0,6,1,Fiber optic,91,1
Female,0,69,1,No,19.75,0
Female,0,72,1,Fiber optic,109.7,0
Male,0,59,1,No,19.3,0
Female,0,20,1,Fiber optic,96.55,0
Male,0,24,1,No,24.1,0
Male,0,59,1,Fiber optic,111.35,0
Male,0,72,1,Fiber optic,112.25,0
Male,0,1,1,No,20.75,0
Female,0,27,1,Fiber optic,101.9,0
Female,0,14,1,Fiber optic,80.05,0
Male,0,71,1,Fiber optic,105.55,0
Male,0,13,1,Fiber optic,78.3,0
Male,0,44,1,Fiber optic,68.85,0
Female,0,33,1,Fiber optic,79.95,0
Male,0,72,0,DSL,55.45,0
Male,0,1,1,Fiber optic,79.9,1
Female,0,19,1,Fiber optic,106.6,1
Male,0,64,1,Fiber optic,102.45,0
Male,0,2,1,DSL,46,1
Female,0,1,0,DSL,25.25,0
Male,0,61,1,No,19.75,0
Female,0,29,1,No,20,0
Male,1,23,1,Fiber optic,86.8,0
Female,0,57,0,DSL,58.75,0
Male,0,72,0,DSL,45.25,0
Male,0,66,0,DSL,56.6,0
Male,0,65,1,DSL,84.2,0
Female,0,8,1,Fiber optic,80,0
Female,0,4,1,Fiber optic,70.15,1
Female,0,71,1,No,24.75,0
Male,0,1,1,No,20.2,0
Male,0,4,1,DSL,50.05,1
Female,0,12,1,No,19.35,0
Male,0,24,0,DSL,50.6,0
Female,0,31,1,DSL,81.15,0
Female,0,1,1,DSL,55.2,1
Male,0,30,1,Fiber optic,89.9,0
Female,0,47,1,DSL,85.3,0
Male,0,54,1,Fiber optic,108,0
Male,0,50,1,Fiber optic,93.5,0
Male,0,1,1,Fiber optic,84.6,1
Female,0,72,1,No,20.25,0
Female,0,29,1,No,25.15,0
Male,0,2,1,DSL,54.4,1
Female,0,10,0,DSL,29.6,0
Male,0,18,1,Fiber optic,73.15,0
Female,1,11,1,Fiber optic,95,1
Male,0,16,1,No,19.75,0
Female,0,72,1,DSL,86.6,0
Male,0,72,1,Fiber optic,109.2,0
Female,0,41,1,DSL,74.7,0
Female,1,65,1,Fiber optic,94.4,0
Female,1,13,1,DSL,54.8,0
Male,1,4,1,Fiber optic,75.35,0
Male,0,41,1,DSL,65,0
Male,1,15,1,Fiber optic,74.4,1
Male,0,1,1,DSL,48.55,1
Male,0,42,1,Fiber optic,99,0
Female,0,51,1,Fiber optic,93.5,0
Female,0,2,1,Fiber optic,70.4,1
Male,1,1,0,DSL,40.2,1
Male,0,32,1,DSL,83.7,0
Male,0,10,1,No,19.85,0
Female,0,67,0,DSL,59.55,0
Female,0,61,1,Fiber optic,115.1,0
Male,0,50,1,Fiber optic,114.35,0
Female,0,2,1,DSL,44.6,1
Female,1,29,0,DSL,45,0
Male,1,3,0,DSL,41.15,1
Male,1,13,1,Fiber optic,106.9,1
Male,1,57,1,Fiber optic,89.85,0
Female,0,31,0,DSL,49.85,0
Female,0,45,1,Fiber optic,113.3,0
Female,0,61,1,DSL,88.1,0
Male,0,50,1,No,24.9,0
Female,1,19,1,Fiber optic,105,0
Male,0,59,1,No,19.35,1
Female,0,71,1,No,24.25,0
Female,1,16,1,Fiber optic,94.45,1
Male,0,57,1,DSL,59.75,0
Male,0,1,0,DSL,24.8,1
Male,1,20,1,Fiber optic,107.05,0
Male,0,1,1,Fiber optic,70.6,1
Male,0,5,1,Fiber optic,85.4,1
Female,0,52,1,Fiber optic,105.05,1
Male,1,21,1,DSL,64.95,0
Male,0,14,0,DSL,55,0
Female,0,5,1,DSL,50.55,0
Female,0,6,1,DSL,55.15,0
Female,0,10,1,DSL,51.2,0
Female,0,1,1,No,25.4,0
Female,0,68,1,DSL,54.45,0
Male,0,18,1,Fiber optic,95.15,1
Female,0,22,1,Fiber optic,76,0
Female,0,20,1,DSL,44.35,0
Male,0,1,1,Fiber optic,70,1
Male,1,8,1,Fiber optic,74.5,1
Male,0,10,1,DSL,44.85,1
Male,1,24,1,Fiber optic,76.1,1
Male,0,35,1,DSL,61.2,0
Male,0,23,1,Fiber optic,86.8,0
Female,1,6,1,Fiber optic,89.35,0
Female,0,12,1,No,19.7,0
Male,0,1,1,No,20.25,0
Female,0,71,1,Fiber optic,76.05,0
Male,1,35,1,Fiber optic,100.8,0
Male,0,40,1,DSL,74.55,0
Female,0,1,1,Fiber optic,73.6,1
Male,0,23,1,DSL,64.9,0
Female,1,4,1,Fiber optic,95.45,1
Male,0,4,1,Fiber optic,90.4,0
Female,0,68,0,DSL,60.3,0
Male,0,38,1,Fiber optic,81.85,0
Male,0,52,1,No,24.8,0
Male,1,32,1,Fiber optic,74.9,1
Male,0,29,1,DSL,75.55,0
Male,1,38,1,Fiber optic,101.15,0
Male,0,48,1,DSL,78.75,0
Female,0,1,1,No,19.25,0
Female,0,22,1,Fiber optic,89.05,0
Female,0,43,1,Fiber optic,115.05,0
Female,1,5,1,Fiber optic,69.35,0
Male,0,5,1,Fiber optic,80.6,1
Male,0,51,1,Fiber optic,110.05,0
Male,0,71,1,No,19.9,0
Female,0,38,1,DSL,80.3,1
Male,1,24,1,Fiber optic,93.15,1
Male,0,35,1,Fiber optic,91.5,0
Female,1,54,1,DSL,82.45,1
Female,0,72,0,DSL,60,0
Male,0,1,1,DSL,44.8,0
Female,0,9,1,DSL,48.6,0
Male,0,69,0,DSL,60.05,0
Female,0,52,1,Fiber optic,102.7,0
Female,1,11,1,Fiber optic,82.9,0
Female,1,2,1,Fiber optic,70.35,1
Female,1,28,0,DSL,35.9,0
Female,1,17,1,Fiber optic,82.65,0
Female,0,35,1,No,19.85,0
Female,0,8,1,No,19.2,0
Male,0,46,1,Fiber optic,94.9,0
Female,0,7,1,Fiber optic,73.85,1
Female,0,2,1,Fiber optic,80.6,1
Male,0,68,1,DSL,75.8,1
Female,0,43,1,Fiber optic,104.6,1
Female,0,68,1,DSL,88.15,0
Female,0,36,1,Fiber optic,94.8,0
Male,0,63,1,Fiber optic,103.4,1
Female,1,32,1,DSL,54.65,0
Female,0,71,1,DSL,85.75,0
Female,0,66,1,DSL,67.45,0
Male,0,63,1,No,20.5,0
Female,0,41,1,No,20.25,0
Female,1,1,1,Fiber optic,72.1,0
Female,0,2,1,Fiber optic,90.4,1
Female,0,70,1,No,19.45,0
Female,0,23,0,DSL,44.95,0
Female,1,64,1,Fiber optic,97,0
Male,0,37,1,DSL,62.8,0
Male,0,17,1,DSL,44.6,0
Female,1,7,1,Fiber optic,89.15,0
Male,0,4,1,Fiber optic,84.8,1
Female,1,21,0,DSL,41.9,1
Female,0,10,1,Fiber optic,80.25,1
Female,1,16,1,DSL,54.1,0
Male,0,64,1,Fiber optic,105.25,0
Male,1,27,0,DSL,30.75,1
Male,0,42,1,Fiber optic,97.1,0
Male,0,5,1,No,20.2,0
Female,0,41,1,Fiber optic,98.8,0
Male,0,58,1,DSL,50.3,0
Female,0,47,1,No,20.55,0
Male,0,18,1,Fiber optic,75.9,0
Male,0,5,1,Fiber optic,96.5,1
Male,0,23,1,DSL,59.95,0
Female,0,1,1,No,19.15,0
Male,0,71,1,Fiber optic,98.65,0
Male,0,72,1,Fiber optic,112.6,0
Male,0,33,1,No,20.6,0
Male,0,2,1,Fiber optic,85.65,1
Male,0,24,0,DSL,35.75,0
Female,0,56,1,Fiber optic,99.75,0
Male,0,37,1,Fiber optic,96.1,0
Female,0,43,1,DSL,85.1,0
Male,0,1,0,DSL,25.35,0
Female,0,25,1,Fiber optic,104.95,1
Female,0,61,1,DSL,89.65,0
Male,0,17,1,Fiber optic,86.75,0
Female,0,41,1,Fiber optic,86.2,0
Male,0,1,1,DSL,50.65,1
Male,1,72,0,DSL,64.8,0
Male,0,1,1,Fiber optic,90.85,1
Male,0,48,1,Fiber optic,108.1,0
Male,1,11,1,No,19.95,1
Female,1,55,1,Fiber optic,85.45,1
Female,0,42,0,DSL,54.75,0
Male,0,44,1,Fiber optic,90.4,0
Male,0,1,1,DSL,44,0
Female,0,27,1,Fiber optic,95.6,0
Male,1,27,1,DSL,84.8,0
Female,1,2,1,DSL,44.3,0
Female,0,19,1,No,19.9,0
Female,1,42,1,Fiber optic,95.05,0
Female,0,66,1,DSL,90.05,0
Male,1,33,1,Fiber optic,109.9,0
Female,0,34,1,Fiber optic,73.95,1
Male,1,33,0,DSL,54.6,0
Female,0,23,1,No,20.05,0
Female,0,32,1,No,19.75,0
Female,0,11,1,No,20.05,0
Male,0,69,1,Fiber optic,99.45,1
Female,0,68,1,DSL,55.9,0
Male,0,20,1,No,19.7,0
Male,0,72,1,No,19.8,0
Male,0,60,1,Fiber optic,95.4,0
Male,1,32,1,Fiber optic,93.95,0
Female,0,1,1,No,19.9,1
Male,0,1,1,No,19.6,1
Male,1,3,1,Fiber optic,81.35,1
Female,0,46,1,No,24.45,0
Female,0,29,1,Fiber optic,74.95,0
Male,0,51,1,Fiber optic,87.35,0
Female,1,48,1,Fiber optic,70.65,0
Female,0,16,1,Fiber optic,73.25,0
Male,0,70,1,Fiber optic,98.7,0
Female,0,40,1,No,24.8,0
Female,0,22,1,Fiber optic,83.3,1
Female,1,1,1,Fiber optic,75.3,1
Female,0,5,1,No,24.3,0
Female,0,7,1,Fiber optic,69.85,0
Male,0,29,1,Fiber optic,100.55,0
Male,0,44,1,No,25.7,0
Female,0,10,0,DSL,40.7,0
Female,1,55,1,DSL,51.65,0
Male,1,52,1,Fiber optic,105.1,0
Female,0,10,1,Fiber optic,85.95,0
Male,0,18,1,Fiber optic,75.6,0
Female,0,68,1,DSL,58.25,0
Female,0,61,1,No,19.4,1
Female,0,72,0,DSL,65.2,0
Male,0,2,1,DSL,53.45,0
Male,0,12,1,DSL,45.4,1
Male,0,41,1,No,19.75,0
Female,0,26,0,DSL,44.45,0
Male,0,36,1,No,20.85,0
Male,0,72,1,Fiber optic,114.05,0
Male,0,35,1,Fiber optic,89.85,0
Male,0,1,1,DSL,55.05,0
Female,0,16,1,Fiber optic,112.95,0
Female,1,49,1,Fiber optic,101.55,0
Female,0,54,1,Fiber optic,114.65,0
Female,0,18,1,DSL,64.8,0
Female,0,36,1,Fiber optic,80.4,0
Female,0,60,1,Fiber optic,105.9,1
Female,0,1,1,Fiber optic,69.55,1
Female,0,52,1,No,25.05,0
Male,0,8,1,Fiber optic,94.75,0
Male,0,72,1,Fiber optic,105.5,0
Female,0,64,1,No,24.7,0
Female,1,22,1,DSL,69.75,0
Male,0,60,0,DSL,60.2,0
Female,0,28,1,Fiber optic,81.05,1
Female,0,61,1,No,24.4,0
Female,0,24,1,Fiber optic,104.15,0
Male,0,28,1,Fiber optic,92.9,0
Female,0,30,1,DSL,80.8,0
Male,0,2,1,No,20,0
Male,0,1,1,Fiber optic,75.1,0
Male,0,6,1,No,19.65,0
Female,0,24,1,DSL,69.45,0
Male,0,4,1,Fiber optic,101.15,1
Male,0,7,1,Fiber optic,99.8,1
Male,1,72,1,Fiber optic,116.05,0
Male,0,70,0,DSL,40.05,0
Male,1,64,1,Fiber optic,102.1,0
Male,0,72,1,Fiber optic,89.7,0
Female,0,44,1,No,19.9,0
Female,0,13,1,DSL,55.95,1
Female,1,17,1,No,20.65,0
Male,0,1,1,DSL,55,1
Male,0,9,1,DSL,70.05,0
Male,0,24,1,DSL,53.6,0
Female,0,1,1,Fiber optic,74.7,1
Male,0,24,1,Fiber optic,80.25,1
Male,1,35,1,DSL,76.05,0
Female,0,7,1,DSL,75.7,0
Male,0,5,1,Fiber optic,96.1,1
Female,0,15,1,Fiber optic,69,1
Male,0,11,1,No,19.65,0
Female,0,48,0,DSL,45.3,1
Female,1,20,1,Fiber optic,81.45,0
Female,0,72,1,Fiber optic,108.5,0
Female,0,8,1,Fiber optic,83.55,1
Male,0,72,1,Fiber optic,84.5,0
Female,0,15,1,Fiber optic,100.15,0
Male,0,72,1,DSL,88.6,0
Female,0,0,0,DSL,52.55,0
Male,0,1,1,Fiber optic,74.35,1
Male,0,63,1,Fiber optic,104.8,0
Female,0,2,1,DSL,59,0
Female,0,2,1,Fiber optic,74.4,1
Male,1,61,1,DSL,64.05,0
Male,0,1,1,No,20.4,0
Male,0,22,0,DSL,43.75,1
Male,0,28,1,DSL,60.9,0
Female,0,70,1,No,19.8,0
Female,1,5,0,DSL,28.45,1
Female,0,12,1,Fiber optic,99.7,1
Male,0,34,1,Fiber optic,116.25,0
Female,1,71,1,Fiber optic,80.7,0
Female,0,70,1,DSL,65.2,0
Female,0,52,1,Fiber optic,84.05,0
Male,0,69,1,DSL,79.45,0
Female,1,20,1,Fiber optic,94.1,1
Male,0,11,1,Fiber optic,78,0
Male,0,2,1,Fiber optic,94.2,1
Female,0,6,1,Fiber optic,80.5,1
Female,0,1,1,No,19.85,0
Male,1,20,1,Fiber optic,94.3,0
Male,0,61,1,Fiber optic,106.45,0
Female,1,5,1,Fiber optic,74.35,1
Female,0,56,1,Fiber optic,105.45,0
Male,0,30,1,Fiber optic,95,0
Male,0,40,1,Fiber optic,104.8,1
Female,0,28,1,DSL,54.3,0
Female,1,5,1,Fiber optic,70.05,0
Female,1,27,1,Fiber optic,75.2,1
Male,0,12,1,No,20.05,0
Male,0,67,1,Fiber optic,105.4,0
Male,1,29,1,DSL,51.6,0
Male,0,55,1,Fiber optic,85.5,0
Female,0,23,1,Fiber optic,75.6,1
Male,0,34,1,Fiber optic,100.05,1
Male,0,52,1,Fiber optic,91.25,0
Male,1,72,1,Fiber optic,115.75,0
Male,0,58,1,Fiber optic,94.7,0
Male,0,35,1,No,19.6,0
Female,1,56,1,Fiber optic,99.9,0
Female,0,24,1,No,21.1,0
Male,0,70,1,No,20.05,0
Male,0,2,1,Fiber optic,79.95,0
Male,1,68,1,Fiber optic,107.15,0
Female,0,1,1,Fiber optic,85,1
Male,0,12,1,Fiber optic,89.55,0
Female,0,63,1,Fiber optic,81.55,0
Female,0,33,1,DSL,58.45,0
Female,0,69,1,Fiber optic,95.65,0
Female,0,60,1,DSL,80.6,0
Female,0,72,1,Fiber optic,113.1,0
Female,0,11,1,DSL,58.95,0
Female,0,1,1,No,19.55,0
Male,0,10,1,Fiber optic,86.05,1
Male,0,13,0,DSL,45.55,1
Male,0,34,1,Fiber optic,78.95,0
Male,0,39,1,Fiber optic,86.3,1
Female,0,65,1,Fiber optic,105.05,0
Male,1,50,1,Fiber optic,101.9,0
Male,0,15,1,No,19.75,0
Male,0,72,1,Fiber optic,110.3,0
Female,0,72,1,Fiber optic,115.6,0
Male,0,55,1,No,19.35,0
Female,0,23,1,No,25.6,0
Male,0,32,1,Fiber optic,80.35,1
Female,0,56,1,DSL,68.75,0
Female,0,1,1,No,19.9,0
Male,0,38,1,DSL,70.6,0
Male,0,11,1,Fiber optic,70.2,0
Male,0,1,1,DSL,49.3,0
Male,0,56,1,Fiber optic,107.25,0
Male,0,3,1,No,23.6,0
Male,0,7,1,DSL,69.7,0
Male,0,59,1,Fiber optic,99.5,0
Male,0,7,1,DSL,64.3,0
Male,0,71,1,DSL,70.85,0
Male,0,15,1,Fiber optic,101.9,0
Male,0,71,1,DSL,73.5,0
Female,0,35,1,Fiber optic,100.25,1
Female,0,11,0,DSL,40.4,0
Female,0,60,1,No,19.25,0
Male,1,47,1,DSL,59.6,0
Female,0,11,1,DSL,64.9,0
Male,0,56,1,Fiber optic,100.3,1
Female,1,28,1,Fiber optic,110.85,0
Male,0,61,1,DSL,81.05,0
Male,0,31,1,Fiber optic,98.05,0
Male,0,9,1,Fiber optic,70.5,0
Male,1,35,1,Fiber optic,94.55,0
Male,0,2,1,No,19.65,0
Female,0,12,1,No,19,1
Female,0,1,1,Fiber optic,75.3,1
Female,1,4,1,Fiber optic,89.2,1
Female,0,1,1,No,19,0
Female,0,3,1,No,20,0
Female,1,1,1,Fiber optic,85.7,1
Male,0,52,1,DSL,63.25,0
Male,0,5,1,No,20.1,0
Male,0,72,1,Fiber optic,99.15,0
Male,0,71,1,DSL,90.4,0
Male,0,72,1,Fiber optic,111.9,0
Male,0,46,1,No,24.9,0
Male,0,63,1,DSL,83.5,0
Male,0,30,1,Fiber optic,84.3,0
Male,0,1,1,DSL,45.6,0
Female,0,12,1,DSL,61.65,1
Male,0,16,0,DSL,54.85,0
Male,0,4,1,DSL,65.55,0
Male,0,51,1,Fiber optic,90.35,0
Male,0,65,1,No,20.4,0
Male,0,16,1,Fiber optic,74.55,0
Male,0,2,1,No,19.95,0
Female,0,66,1,Fiber optic,74.25,0
Male,0,46,1,Fiber optic,108.65,0
Female,0,32,1,Fiber optic,109.55,0
Male,0,72,1,DSL,86.65,0
Male,0,38,1,DSL,81,0
Male,0,51,1,DSL,47.85,0
Male,0,72,1,Fiber optic,114.55,0
Female,1,65,1,Fiber optic,105.25,1
Male,0,9,0,DSL,29.95,1
Female,0,9,1,DSL,65,1
Male,0,66,1,No,20.55,0
Female,1,44,1,Fiber optic,109.8,0
Male,0,50,1,DSL,69.5,0
Female,0,15,1,DSL,48.85,0
Male,0,8,0,DSL,25.25,0
Female,1,66,1,Fiber optic,102.85,0
Female,0,57,1,Fiber optic,87.55,0
Female,0,7,1,Fiber optic,78.55,0
Male,1,10,0,DSL,34.55,0
Female,0,62,1,Fiber optic,92.05,0
Male,0,40,1,Fiber optic,85.05,0
Female,0,20,1,No,19.7,0
Female,0,7,1,No,20,1
Female,0,25,1,Fiber optic,95.15,0
Male,0,23,1,Fiber optic,84.25,0
Female,1,66,1,Fiber optic,104.6,0
Female,1,72,1,Fiber optic,111.65,0
Male,1,49,1,Fiber optic,90.05,1
Male,1,43,1,Fiber optic,110.75,1
Female,0,46,1,DSL,55,0
Male,0,72,1,DSL,89.85,0
Male,0,10,1,No,20.35,0
Female,0,40,0,DSL,54.55,0
Female,0,65,1,Fiber optic,105.5,1
Male,0,31,1,Fiber optic,99.45,0
Female,0,68,1,DSL,70.9,0
Male,1,56,1,Fiber optic,104.55,1
Male,0,10,1,Fiber optic,85.25,1
Male,0,68,1,No,25.4,0
Female,0,43,1,DSL,56.15,1
Male,0,1,1,Fiber optic,89.55,1
Female,1,49,1,Fiber optic,89.85,0
Female,0,15,1,No,25.25,0
Male,1,20,1,Fiber optic,94.55,1
Male,0,1,1,DSL,45.7,1
Male,0,50,1,DSL,69.65,0
Female,1,2,1,Fiber optic,89.5,1
Male,1,24,1,Fiber optic,70,0
Female,0,3,1,Fiber optic,69.55,1
Female,0,1,1,Fiber optic,74.6,1
Male,0,35,1,No,20.1,0
Female,0,17,1,No,24.8,0
Female,1,8,1,No,19.65,1
Male,0,10,1,Fiber optic,95.1,0
Male,0,68,1,DSL,88.85,0
Male,0,45,1,DSL,78.8,0
Male,0,2,1,No,19.85,1
Male,0,37,1,No,20.35,0
Female,0,4,0,DSL,24.25,1
Female,0,10,1,DSL,45.25,0
Male,0,1,1,No,20.05,0
Male,0,65,1,DSL,69.55,0
Female,0,57,1,No,19.5,0
Female,0,3,1,Fiber optic,74.75,0
Female,0,2,1,Fiber optic,69.65,1
Male,0,49,0,DSL,30.2,0
Female,0,4,1,DSL,45.65,1
Female,0,70,0,DSL,57.8,0
Female,0,53,1,No,19.85,0
Male,0,53,1,No,25.55,0
Female,0,1,1,Fiber optic,75.05,1
Male,0,22,1,No,24.85,0
Male,1,52,0,DSL,49.15,1
Male,1,65,1,Fiber optic,110.35,0
Female,0,48,1,No,24.55,0
Female,0,2,0,DSL,34.7,1
Male,0,3,1,Fiber optic,107.95,0
Male,0,45,1,Fiber optic,81.4,0
Male,0,1,1,Fiber optic,80,1
Female,0,61,1,DSL,73.8,0
Male,0,3,1,DSL,64.4,0
Female,1,40,1,Fiber optic,103.75,0
Female,0,1,1,Fiber optic,71.1,0
Female,0,1,1,DSL,49.9,0
Male,0,51,1,No,24.6,0
Male,1,2,1,DSL,49.25,1
Male,0,52,0,DSL,30.1,0
Male,0,51,1,Fiber optic,83.4,0
Male,0,1,1,No,20.45,0
Male,0,31,1,DSL,75.25,0
Male,0,47,1,No,20.55,0
Female,0,3,1,Fiber optic,75.1,1
Female,1,22,1,No,20.05,0
Female,0,1,1,No,20.65,0
Male,0,72,1,DSL,85.15,0
Male,0,3,1,DSL,50.15,1
Male,1,47,1,Fiber optic,84.95,0
Male,0,72,1,DSL,66.5,0
